Zmienna;j_miary;Kwartal;Rok;Wartosc
Cena 1 m2 powierzchni u¿ytkowej budynku mieszkalnego oddanego do u¿ytkowania;z³;4;2014;3984
Cena 1 m2 powierzchni u¿ytkowej budynku mieszkalnego oddanego do u¿ytkowania;z³;3;2014;3880
Cena 1 m2 powierzchni u¿ytkowej budynku mieszkalnego oddanego do u¿ytkowania;z³;2;2014;4141
Cena 1 m2 powierzchni u¿ytkowej budynku mieszkalnego oddanego do u¿ytkowania;z³;1;2014;4129
Cena 1 m2 powierzchni u¿ytkowej budynku mieszkalnego oddanego do u¿ytkowania;z³;4;2013;4228
Cena 1 m2 powierzchni u¿ytkowej budynku mieszkalnego oddanego do u¿ytkowania;z³;3;2013;3975
Cena 1 m2 powierzchni u¿ytkowej budynku mieszkalnego oddanego do u¿ytkowania;z³;2;2013;3879
Cena 1 m2 powierzchni u¿ytkowej budynku mieszkalnego oddanego do u¿ytkowania;z³;1;2013;4019
Cena 1 m2 powierzchni u¿ytkowej budynku mieszkalnego oddanego do u¿ytkowania;z³;4;2012;3837
Cena 1 m2 powierzchni u¿ytkowej budynku mieszkalnego oddanego do u¿ytkowania;z³;3;2012;3915
Cena 1 m2 powierzchni u¿ytkowej budynku mieszkalnego oddanego do u¿ytkowania;z³;2;2012;4103
Cena 1 m2 powierzchni u¿ytkowej budynku mieszkalnego oddanego do u¿ytkowania;z³;1;2012;4130
Cena 1 m2 powierzchni u¿ytkowej budynku mieszkalnego oddanego do u¿ytkowania;z³;4;2011;3829
Cena 1 m2 powierzchni u¿ytkowej budynku mieszkalnego oddanego do u¿ytkowania;z³;3;2011;3988
Cena 1 m2 powierzchni u¿ytkowej budynku mieszkalnego oddanego do u¿ytkowania;z³;2;2011;3819
Cena 1 m2 powierzchni u¿ytkowej budynku mieszkalnego oddanego do u¿ytkowania;z³;1;2011;3797
Cena 1 m2 powierzchni u¿ytkowej budynku mieszkalnego oddanego do u¿ytkowania;z³;4;2010;3979
Cena 1 m2 powierzchni u¿ytkowej budynku mieszkalnego oddanego do u¿ytkowania;z³;3;2010;4657
Cena 1 m2 powierzchni u¿ytkowej budynku mieszkalnego oddanego do u¿ytkowania;z³;2;2010;4433
Cena 1 m2 powierzchni u¿ytkowej budynku mieszkalnego oddanego do u¿ytkowania;z³;1;2010;4372
Cena 1 m2 powierzchni u¿ytkowej budynku mieszkalnego oddanego do u¿ytkowania;z³;4;2009;3964
Cena 1 m2 powierzchni u¿ytkowej budynku mieszkalnego oddanego do u¿ytkowania;z³;3;2009;3783
Cena 1 m2 powierzchni u¿ytkowej budynku mieszkalnego oddanego do u¿ytkowania;z³;2;2009;3924
Cena 1 m2 powierzchni u¿ytkowej budynku mieszkalnego oddanego do u¿ytkowania;z³;1;2009;3895
Cena 1 m2 powierzchni u¿ytkowej budynku mieszkalnego oddanego do u¿ytkowania;z³;4;2008;3631
Cena 1 m2 powierzchni u¿ytkowej budynku mieszkalnego oddanego do u¿ytkowania;z³;3;2008;3478
Cena 1 m2 powierzchni u¿ytkowej budynku mieszkalnego oddanego do u¿ytkowania;z³;2;2008;3186
Cena 1 m2 powierzchni u¿ytkowej budynku mieszkalnego oddanego do u¿ytkowania;z³;1;2008;2970
Cena 1 m2 powierzchni u¿ytkowej budynku mieszkalnego oddanego do u¿ytkowania;z³;4;2007;2890
Cena 1 m2 powierzchni u¿ytkowej budynku mieszkalnego oddanego do u¿ytkowania;z³;3;2007;3041
Cena 1 m2 powierzchni u¿ytkowej budynku mieszkalnego oddanego do u¿ytkowania;z³;2;2007;2650
Cena 1 m2 powierzchni u¿ytkowej budynku mieszkalnego oddanego do u¿ytkowania;z³;1;2007;2683
Cena 1 m2 powierzchni u¿ytkowej budynku mieszkalnego oddanego do u¿ytkowania;z³;4;2006;2619
Cena 1 m2 powierzchni u¿ytkowej budynku mieszkalnego oddanego do u¿ytkowania;z³;3;2006;2557
Cena 1 m2 powierzchni u¿ytkowej budynku mieszkalnego oddanego do u¿ytkowania;z³;2;2006;2445
Cena 1 m2 powierzchni u¿ytkowej budynku mieszkalnego oddanego do u¿ytkowania;z³;1;2006;2560
Cena 1 m2 powierzchni u¿ytkowej budynku mieszkalnego oddanego do u¿ytkowania;z³;4;2005;2388
Cena 1 m2 powierzchni u¿ytkowej budynku mieszkalnego oddanego do u¿ytkowania;z³;3;2005;2528
Cena 1 m2 powierzchni u¿ytkowej budynku mieszkalnego oddanego do u¿ytkowania;z³;2;2005;2336
Cena 1 m2 powierzchni u¿ytkowej budynku mieszkalnego oddanego do u¿ytkowania;z³;1;2005;2505
Cena 1 m2 powierzchni u¿ytkowej budynku mieszkalnego oddanego do u¿ytkowania;z³;4;2004;2195
Cena 1 m2 powierzchni u¿ytkowej budynku mieszkalnego oddanego do u¿ytkowania;z³;3;2004;2386
Cena 1 m2 powierzchni u¿ytkowej budynku mieszkalnego oddanego do u¿ytkowania;z³;2;2004;2562
Cena 1 m2 powierzchni u¿ytkowej budynku mieszkalnego oddanego do u¿ytkowania;z³;1;2004;2412
Cena 1 m2 powierzchni u¿ytkowej budynku mieszkalnego oddanego do u¿ytkowania;z³;4;2003;2432
Cena 1 m2 powierzchni u¿ytkowej budynku mieszkalnego oddanego do u¿ytkowania;z³;3;2003;2117
Cena 1 m2 powierzchni u¿ytkowej budynku mieszkalnego oddanego do u¿ytkowania;z³;2;2003;2332
Cena 1 m2 powierzchni u¿ytkowej budynku mieszkalnego oddanego do u¿ytkowania;z³;1;2003;2071
Cena 1 m2 powierzchni u¿ytkowej budynku mieszkalnego oddanego do u¿ytkowania;z³;4;2002;2330
Cena 1 m2 powierzchni u¿ytkowej budynku mieszkalnego oddanego do u¿ytkowania;z³;3;2002;2484
Cena 1 m2 powierzchni u¿ytkowej budynku mieszkalnego oddanego do u¿ytkowania;z³;2;2002;2400
Cena 1 m2 powierzchni u¿ytkowej budynku mieszkalnego oddanego do u¿ytkowania;z³;1;2002;2400
Cena 1 m2 powierzchni u¿ytkowej budynku mieszkalnego oddanego do u¿ytkowania;z³;4;2001;2500
Cena 1 m2 powierzchni u¿ytkowej budynku mieszkalnego oddanego do u¿ytkowania;z³;3;2001;2700
Cena 1 m2 powierzchni u¿ytkowej budynku mieszkalnego oddanego do u¿ytkowania;z³;2;2001;2490
Cena 1 m2 powierzchni u¿ytkowej budynku mieszkalnego oddanego do u¿ytkowania;z³;1;2001;2350
Cena 1 m2 powierzchni u¿ytkowej budynku mieszkalnego oddanego do u¿ytkowania;z³;4;2000;2300
Cena 1 m2 powierzchni u¿ytkowej budynku mieszkalnego oddanego do u¿ytkowania;z³;3;2000;2300
Cena 1 m2 powierzchni u¿ytkowej budynku mieszkalnego oddanego do u¿ytkowania;z³;2;2000;2280
Cena 1 m2 powierzchni u¿ytkowej budynku mieszkalnego oddanego do u¿ytkowania;z³;1;2000;2245
Cena 1 m2 powierzchni u¿ytkowej budynku mieszkalnego oddanego do u¿ytkowania;z³;4;1999;2220
Cena 1 m2 powierzchni u¿ytkowej budynku mieszkalnego oddanego do u¿ytkowania;z³;3;1999;2200
Cena 1 m2 powierzchni u¿ytkowej budynku mieszkalnego oddanego do u¿ytkowania;z³;2;1999;2150
Cena 1 m2 powierzchni u¿ytkowej budynku mieszkalnego oddanego do u¿ytkowania;z³;1;1999;1960
Cena 1 m2 powierzchni u¿ytkowej budynku mieszkalnego oddanego do u¿ytkowania;z³;4;1998;1930
